Título,URL,Slug,Keyword principal,Keywords secundarias,Título SEO,Meta description,Noindex,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición
Huaca Pucllana,https://www.perugrandtravel.com/peru/lima/archaeological-sites/huaca-pucllana/,huaca-pucllana,Archaeological Site Huaca Pucllana,,"Archaeological Site Huaca Pucllana: History, Location, and More",Huaca Pucllana Archaeological Site: Discover the Majestic Culture of Lima in the Heart of Modern Lima: Time Travel!,,74,0,2023-11-28,2024-10-03,publish,99,31161,0.00317704823336863,12.83
Pachacamac,https://www.perugrandtravel.com/peru/lima/archaeological-sites/pachacamac/,pachacamac,temple of Pachacamac,,The archaeological sanctuary or temple of Pachacamac in Lima,Temple of Pachacamac: Immerse yourself in the Spirituality of this Ancient Peruvian Sanctuary. Discover the History in every corner.,,72,0,2023-11-30,2024-10-03,publish,91,14395,0.00632163945814519,13.83
About Us,https://www.perugrandtravel.com/about-us/,about-us,,,▷ ABOUT US | Peru Grand Travel,"Peru Grand Travel, your agency dedicated to offering unique experiences in Peru. Learn about our commitment to service and sustainability.",,,0,2022-03-21,2026-04-17,publish,82,10250,0.008,4.17
Chinchero,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/chinchero/,chinchero,chinchero,,"Archaeological Complex of Chinchero in Cusco, Peru",Discover the Magic of the Archaeological Complex of Chinchero: Incan Treasures and Colonial Blends await you in the Peruvian Andes.,,74,0,2024-01-23,2024-10-05,publish,74,13138,0.00563251636474349,13.5
Luxury Tours,https://www.perugrandtravel.com/luxury-tours/,luxury-tours,Luxury Peru Tours,,Luxury Peru Tours & Vacation Packages 2026 - 2027,"Experience luxury Peru tours with premium vacation packages. Stay in top hotels and explore Cusco, Machu Picchu and other destinations.",,84,0,2024-12-11,2026-06-04,publish,58,75237,0.000770897297872058,40.54
Destinations,https://www.perugrandtravel.com/peru/,peru,,,Our Destinations %%sep%% %%sitename%%,"Complete packages of tourist destinations in Peru. The best tourist sites to visit in Peru such as Cusco, Machu Picchu, Arequipa, Lima, Puno.",,,0,2022-03-22,2025-03-08,publish,48,26688,0.00179856115107914,5.59
Contact Us,https://www.perugrandtravel.com/contact-us/,contact-us,,,▷ CONTACT US | Peru Grand Travel,"Contact Peru Grand Travel, if you have any questions or want to ask us about our services, please contact us!",,,0,2022-03-26,2026-04-17,publish,44,7939,0.00554225973044464,11.4
Tambomachay,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/tambomachay/,tambomachay,tambomachay,,"Tambomachay Archaeological Complex in Cusco, Peru","Discover Tambomachay in Cusco, an archaeological complex that offers the opportunity to explore the rich history and culture of the region.",,72,0,2023-12-06,2024-10-03,publish,39,9175,0.00425068119891008,13.99
Puka Pukara,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/puka-pukara/,puka-pukara,puka pukara,,"Puka Pukara Archaeological Complex in Cusco, Peru","Explore Puka Pukara, an archaeological complex full of mystery and beauty. Immerse yourself in the ancestral legacy at this unique place.",,64,0,2023-11-30,2024-10-03,publish,36,27501,0.00130904330751609,9.18
Qenqo,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/qenqo/,qenqo,qenqo,,"Qenqo Archaeological Complex in Cusco, Peru","Discover Qenqo in Cusco, an Inca archaeological complex full of mysteries and wonders. Book your experience today!",,76,0,2023-11-29,2024-10-03,publish,22,24910,0.00088317944600562,10.67
Caral,https://www.perugrandtravel.com/peru/lima/archaeological-sites/caral/,caral,caral archaeological site,,Discover the Caral Archaeological Site: A Journey to the Past,Caral Archaeological Site: Discover the Cradle of Civilization in Peru. Immerse yourself in the history of this archaeological jewel.,,72,0,2023-11-15,2024-10-03,publish,21,27819,0.000754879758438477,13.98
Sacsayhuaman,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/sacsayhuaman/,sacsayhuaman,fortress of sacsayhuaman,,"The Inca fortress of Sacsayhuaman in Cusco, Peru",Discover the Fortress of Sacsayhuamán in Cusco and delve into ancient history. Plan your visit today to live this unique experience!,,65,0,2023-11-28,2024-10-03,publish,20,16442,0.00121639703199124,24.27
Raqchi,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/raqchi/,raqchi,raqchi,,"Archaeological Complex of Raqchi in Cusco, Peru",Explore the Archaeological Complex of Raqchi and discover the history of the Temple of Wiracocha and its monumental architecture.,,70,423,2024-01-23,2024-10-05,publish,16,4732,0.00338123415046492,14.47
Day Tours in Cusco,https://www.perugrandtravel.com/day-tours-in-cusco/,day-tours-in-cusco,Day Tours in Cusco,,Best Day Tours in Cusco with all-Inclusive 2026,"See our best day tours in Cusco with all-included services, including guided excursions, transport and cultural experiences in Peru.",,84,0,2024-10-18,2026-06-04,publish,14,12128,0.00115435356200528,35.46
Ollantaytambo,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/ollantaytambo/,ollantaytambo,ollantaytambo,,"Ollantaytambo Archaeological Site in Cusco, Peru","Discover Ollantaytambo in Cusco, one of the most impressive and emblematic Inca archaeological complexes in Peru.",,76,0,2023-12-06,2024-10-03,publish,14,8744,0.00160109789569991,28.69
Salkantay Trail to Machu Picchu,https://www.perugrandtravel.com/salkantay-treks/,salkantay-treks,Salkantay Trail to Machu Picchu,,"▷ SALKANTAY TRAIL to Machu Picchu, Cusco Peru 2026","Book the Salkantay Trail to Machu Picchu, at the best prices and services, include ✔️Trek, ✔️Guides, ✔️Tickets, ✔️Transfers and more.",,73,0,2023-03-07,2025-12-11,publish,12,11436,0.00104931794333683,62.5
Rafael Larco Herrera,https://www.perugrandtravel.com/peru/lima/museums/rafael-larco-herrera/,rafael-larco-herrera,rafael larco herrera museum,,Rafael Larco Herrera Museum: Exploring Peru's,Discover the Peruvian pre-Columbian culture at the Rafael Larco Herrera Museum. A collection of artifacts that narrates the history of Peru.,,72,0,2023-12-11,2024-10-03,publish,12,6872,0.00174621653084983,18.48
Community projects,https://www.perugrandtravel.com/community-projects/,community-projects,,,,Peru Grand Travel promotes community projects in the Cusco region aimed exclusively at communities in need of support....,,,0,2022-03-21,2024-11-26,publish,11,1289,0.00853374709076804,9.83
Coricancha,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/coricancha/,coricancha,coricancha,,"Coricancha Archaeological Complex in Cusco, Peru","Discover Coricancha in Cusco, archaeological complex considered the most important religious and political center of the Incan civilization.",,72,0,2023-12-06,2024-10-03,publish,10,10393,0.000962186086789185,29.67
Magical Water Circuit in Lima,https://www.perugrandtravel.com/peru/lima/squares-and-parks/magical-water-circuit-lima/,magical-water-circuit-lima,magical water circuit lima,,Magic Water Circuit: Lima Aquatic Enchantment,Immerse yourself in the magic of the Magic Water Circuit Lima. Dazzling lights and aquatic experiences await you! Discover it now.,,64,0,2024-01-09,2024-10-03,publish,9,7139,0.00126068076761451,15.84
Terms & Conditions,https://www.perugrandtravel.com/policy-terms-and-conditions/,policy-terms-and-conditions,,,▷ TERMS & CONDITIONS | Peru Grand Travel,Learn about our Terms and Conditions. Peru Grand Travel thanks you for your preference; we will make your trip the best.,,,0,2022-03-21,2025-02-24,publish,9,1227,0.00733496332518337,14.16
Join to Peru Grand Travel,https://www.perugrandtravel.com/join-to-peru-grand-travel/,join-to-peru-grand-travel,,,▷ WORK WITH US | Peru Grand Travel,Become a partner of our company. Join Peru Grand Travel and offer your clients one of the best destinations in Latin America Peru.,,,0,2022-07-11,2025-02-24,publish,8,31789,0.000251659379030482,6.08
Huaraz,https://www.perugrandtravel.com/peru/huaraz/,huaraz,huaraz hiking tours,,▷ Huaraz Hiking Tours & Vacation Packages [2026],"Check out tours in Huaraz, Peru, with the best prices and services, including: ✓ transfers, ✓ excursions, ✓ guides, ✓ hotels, and more.",,70,0,2023-03-29,2025-12-11,publish,8,4672,0.00171232876712329,21.84
Tailor-made tour,https://www.perugrandtravel.com/tailor-made-tour/,tailor-made-tour,,,,,,,0,2022-07-09,2025-01-31,publish,6,12956,0.000463105896881754,26.12
Lima,https://www.perugrandtravel.com/peru/lima/,lima,lima holiday packages,,"▷ The best Vacation Packages in Lima, Peru [2026]","Check out vacation packages in Lima, Peru with the best prices and services, include: ✓ transfers, ✓ tours, ✓ guides, ✓ hotels and more.",,67,0,2023-03-28,2025-12-11,publish,6,11689,0.000513303105483788,50.71
Ica,https://www.perugrandtravel.com/peru/ica/,ica,Ica Tours,,▷ ICA Tours from Lima and Vacation Packages 2026,"Book the Ica Tours from Lima & Vacation Packages, at the best prices, included ✔️Travel, ✔️Guides, ✔️Ticket, visit Paracas and Huacachina.",,78,0,2023-03-29,2025-12-11,publish,6,5713,0.00105023630316821,33.48
Puno,https://www.perugrandtravel.com/peru/puno/,puno,puno vacation packages,,▷ Puno Peru Vacation Packages & Best Tours [2026],"Check out vacation packages to Puno with the best prices and services, including: ✓ transfers, ✓ tours, ✓ guides, ✓ hotels, and more.",,73,0,2023-03-29,2025-12-11,publish,5,3178,0.00157331655129012,28.36
Payment Methods,https://www.perugrandtravel.com/payment-methods/,payment-methods,,,▷ PAYMENT METHODS | Peru Grand Travel,"Book your trip with confidence using secure payment methods. Peru Grand Travel offers fast, reliable options to enjoy your trip worry-free.",,,0,2022-03-21,2025-02-24,publish,5,1894,0.00263991552270327,28.48
Inca Trail Tours,https://www.perugrandtravel.com/inca-trail-tours/,inca-trail-tours,inca trail hiking tours,,Inca Trail to Machu Picchu 2026 with Permits Included,"Book your 2026 Inca Trail trek to Machu Picchu with permits included. Enjoy guided hiking, camping, transfers throughout the Andean region.",,73,0,2023-02-27,2026-06-04,publish,4,11403,0.000350784881171622,53.72
Arequipa,https://www.perugrandtravel.com/peru/arequipa/,arequipa,Arequipa vacation packages,,"▷ AREQUIPA Vacation Packages, Tours & Trips 2026","Book the Arequipa Vacation Packages, at the best prices and services, include ✔️Personalized Tours, ✔️Guides, ✔️Hotels, ✔️Tickets and more.",,73,0,2023-03-29,2025-12-11,publish,3,3572,0.00083986562150056,31.79
Offers,https://www.perugrandtravel.com/offers/,offers,Offers,,Peru Travel Deals & Vacation Packages 2026 - 2027,"Check out exclusive Peru travel deals with discounts on Machu Picchu tours, Cusco packages and complete vacation experiences across Peru.",,75,0,2023-12-26,2026-06-04,publish,3,976,0.00307377049180328,7.52
Choquequirao,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/choquequirao/,choquequirao,choquequirao,,"Choquequirao Archaeological Park in Cusco, Peru","Explore the Archaeological Complex of Choquequirao, an ancestral treasure hidden in the depths of the Peruvian Andes. Book your experience!",,72,0,2024-01-23,2024-10-05,publish,2,3428,0.00058343057176196,39.9
Legal documents,https://www.perugrandtravel.com/legal-documents/,legal-documents,document,,Legal Documents for your Safe Travel | Peru Grand Travel,Ensure a hassle-free trip. Know our legal documents. Peru Grand Travel is a company legally constituted under Peruvian law.,,67,0,2022-03-21,2025-12-26,publish,2,776,0.00257731958762887,8.69
Churches and Convents,https://www.perugrandtravel.com/peru/lima/churches-and-convents/,churches-and-convents,,,,,,,0,2023-12-19,2024-10-05,publish,2,121,0.0165289256198347,20.24
Cusco,https://www.perugrandtravel.com/peru/cusco/,cusco,Cusco Peru Vacation Packages,,▷ CUSCO PERU Vacation Packages & Best Tours 2026,"Book Cusco Peru Vacation Packages, the best prices and services, include ✔️Tours, ✔️Guides, ✔️Hotels, ✔️Ticket and more.",,75,0,2023-03-27,2025-12-11,publish,1,8425,0.000118694362017804,56.84
PGT Foundation,https://www.perugrandtravel.com/social-projects/,social-projects,social projects,,▷ SOCIAL PROJECTS | Peru Grand Travel,"Meet the social projects of Peru Grand Travel, a travel agency committed to local community development in Cusco.",,77,0,2024-04-02,2025-08-19,publish,1,1326,0.000754147812971342,13.49
Esnna,https://www.perugrandtravel.com/esnna/,esnna,,,ESNNA's Code of Conduct in Peru Grand Travel,"Learn about ESNNA's Code of Conduct at Peru Grand Travel, which guides our responsible tourism practices and sustainable experiences for all.",,,0,2022-04-22,2024-10-03,publish,1,525,0.00190476190476191,6.56
Privacy Policy and Data Protection,https://www.perugrandtravel.com/privacy-policy-and-data-protection/,privacy-policy-and-data-protection,,,▷ PRIVACY POLICY | Peru Grand Travel,Check our privacy policy to understand how we protect your personal data and ensure your security on our website.,,,0,2022-03-21,2025-02-24,publish,1,203,0.00492610837438424,17.57
Natural Attractions,https://www.perugrandtravel.com/peru/lima/natural-attractions/,natural-attractions,,,,,,,0,2023-11-30,2024-10-05,publish,0,1272,0,32.54
Sustainable tourism,https://www.perugrandtravel.com/sustainable-tourism/,sustainable-tourism,,,,Peru Grand Travel fully supports the principles of sustainable tourism and has been working hard to show that it is possible to...,,,0,2022-03-21,2025-12-20,publish,0,839,0,39.73
demo content prices,https://www.perugrandtravel.com/?page_id=16976,demo-content-prices,,,,,,,0,2024-10-22,2024-10-22,draft,,,,
About Us,https://www.perugrandtravel.com/?page_id=19616,,,,▷ ABOUT US | Peru Grand Travel,"Peru Grand Travel, your agency dedicated to offering unique experiences in Peru. Learn about our commitment to service and sustainability.",,,0,2025-08-29,2025-08-29,draft,,,,
Awards and recognitions,https://www.perugrandtravel.com/awards-and-recognitions/,awards-and-recognitions,Awards and recognition,,Awards and recognition - Peru Grand Travel (Tour Operator),"Discover the awards and recognitions of Peru Grand Travel, your leading tour operator for unique experiences throughout Peru.",,44,0,2024-08-20,2024-10-10,publish,,,,
Blog,https://www.perugrandtravel.com/blogs/,blogs,,,,Discover here in the blog the necessary information to travel to Peru. Discover the best destinations and tips for your trips to Peru.,,,0,2022-03-23,2024-07-09,publish,,,,
Claim Books,https://www.perugrandtravel.com/claim-books/,claim-books,,,,,Sí,,0,2025-05-08,2025-05-08,publish,,,,
Covid-19,https://www.perugrandtravel.com/covid-19/,covid-19,,,,,,,0,2022-07-08,2024-10-03,publish,,,,
CTA for Content Tour (Edit Title Prohibited),https://www.perugrandtravel.com/cta-for-content-tour-edit-title-prohibited/,cta-for-content-tour-edit-title-prohibited,,,,,Sí,,0,2024-10-16,2024-10-17,publish,,,,
Destinations,https://www.perugrandtravel.com/destinations/,destinations,,,,"Complete packages of tourist destinations in Peru. The best tourist sites to visit in Peru such as Cusco, Machu Picchu, Arequipa, Lima, Puno.",,,0,2024-09-25,2024-10-17,publish,,,,
Facebook Review Page (Edit Title Prohibited),https://www.perugrandtravel.com/facebook-review-page-edit-title-prohibited/,facebook-review-page-edit-title-prohibited,,,,,Sí,,7,2024-09-30,2024-10-03,publish,,,,
Google Review Page (Edit Title Prohibited),https://www.perugrandtravel.com/google-review-page-edit-title-prohibited/,google-review-page-edit-title-prohibited,,,,,Sí,,7,2024-09-30,2024-10-03,publish,,,,
Archaeological Sites,https://www.perugrandtravel.com/peru/cusco/archaeological-sites/,archaeological-sites,,,,,,,0,2023-11-28,2024-10-05,publish,,,,
Archaeological Sites,https://www.perugrandtravel.com/peru/lima/archaeological-sites/,archaeological-sites,,,,,,,0,2023-11-15,2023-11-30,publish,,,,
Museums,https://www.perugrandtravel.com/peru/lima/museums/,museums,,,,,,,0,2023-12-11,2024-10-05,publish,,,,
Squares and Parks,https://www.perugrandtravel.com/peru/lima/squares-and-parks/,squares-and-parks,,,,,,,0,2024-01-09,2024-10-05,publish,,,,
Policy Against Exploitation and Harassment,https://www.perugrandtravel.com/policy-against-exploitation-and-harassment/,policy-against-exploitation-and-harassment,,,,,,,606,2026-03-05,2026-03-05,publish,,,,
Christmas,https://www.perugrandtravel.com/social-projects/christmas/,christmas,Christmas campaign,,Christmas Campaign: Sharing Joy | Peru Grand Travel,Share the Christmas spirit with Peru Grand Travel. Our Christmas campaign seeks to bring happiness and resources to those in need.,,70,0,2024-04-02,2024-08-17,publish,,,,
Cleaning Campaigns,https://www.perugrandtravel.com/social-projects/cleaning-campaigns/,cleaning-campaigns,cleaning campaigns,,Ecological commitment clean-up campaigns | Peru Grand Travel,Peru Grand Travel is committed to the environment and carries out cleaning campaigns to keep tourist destinations free of waste.,,51,0,2024-08-16,2024-09-24,publish,,,,
Travel styles,https://www.perugrandtravel.com/travel-styles/,travel-styles,,,,,,,0,2022-03-28,2024-10-03,publish,,,,
TripAdvisor Review Page (Edit Title Prohibited),https://www.perugrandtravel.com/tripadvisor-review-page-edit-title-prohibited/,tripadvisor-review-page-edit-title-prohibited,,,,,Sí,,7,2024-09-27,2024-10-03,publish,,,,
